,precision,recall,f1-score,support
daisy,0.9722222222222222,0.9130434782608695,0.9417040358744395,115.0
dandelion,0.9622641509433962,0.9622641509433962,0.9622641509433962,159.0
rose,0.8671875,0.9487179487179487,0.9061224489795918,117.0
sunflower,0.9622641509433962,0.9272727272727272,0.9444444444444444,110.0
tulip,0.9319727891156463,0.9319727891156463,0.9319727891156463,147.0
accuracy,0.9382716049382716,0.9382716049382716,0.9382716049382716,0.9382716049382716
macro avg,0.9391821626449323,0.9366542188621176,0.9373015738715038,648.0
weighted avg,0.9399931321903229,0.9382716049382716,0.9385820671991693,648.0
